Tagname,Class,System,Loop_Sequence,Function_Code,Drawing_No,RapidOCR_Text,TesseractOCR_Text,Raw_Text
,INSTRUMENT,,,,img_0_grid_10_det_11.png,,,
,INSTRUMENT,,,,img_0_grid_10_det_12.png,P[ 0110 16,"| Pl

- |a410

} |) 16","P[ 0110 16 | Pl

- |a410

} |) 16"
,INSTRUMENT,,,,img_0_grid_10_det_5.png,P 111 16,"al

Tit","P 111 16 al

Tit"
,INSTRUMENT,,,,img_0_grid_10_det_7.png,0116,"AT

DT16

CI

ve","0116 AT

DT16

CI

ve"
,INSTRUMENT,,,,img_0_grid_10_det_4.png,d 1111 16,,d 1111 16 
,INSTRUMENT,,,,img_0_grid_10_det_7.png,0116,a),0116 a)
,INSTRUMENT,,,,img_0_grid_10_det_8.png,0110 16,Ce),0110 16 Ce)
,INSTRUMENT,,,,img_0_grid_11_det_2.png,P 0117,"ot

0117","P 0117 ot

0117"
,INSTRUMENT,,,,img_0_grid_11_det_3.png,,tctk, tctk
,INSTRUMENT,,,,img_0_grid_11_det_4.png,,,
,INSTRUMENT,,,,img_0_grid_11_det_1.png,PI 01↑1 13,"Pl *

O11

IS","PI 01↑1 13 Pl *

O11

IS"
,INSTRUMENT,,,,img_0_grid_11_det_2.png,5,"en

lle

a

Dds

I

ie

i:

al","5 en

lle

a

Dds

I

ie

i:

al"
,INSTRUMENT,,,,img_0_grid_11_det_3.png,,otk, otk
,INSTRUMENT,,,,img_0_grid_11_det_1.png,01↑1 13,"Pl *

o1ft

IS oy","01↑1 13 Pl *

o1ft

IS oy"
,INSTRUMENT,,,,img_0_grid_11_det_2.png,5,"en

Le

a

Dds

I

ie

i:

al","5 en

Le

a

Dds

I

ie

i:

al"
,INSTRUMENT,,,,img_0_grid_12_det_0.png,S,=,S =
,INSTRUMENT,,,,img_0_grid_14_det_3.png,FlQ 0111 16,"rl

Ui

16","FlQ 0111 16 rl

Ui

16"
,INSTRUMENT,,,,img_0_grid_14_det_4.png,UL 0,"U)*

i 1","UL 0 U)*

i 1"
,INSTRUMENT,,,,img_0_grid_14_det_0.png,C4 0111 16,"oni ts

16","C4 0111 16 oni ts

16"
,INSTRUMENT,,,,img_0_grid_14_det_2.png,FIC 011d 16,"| FIC

E ve i","FIC 011d 16 | FIC

E ve i"
,INSTRUMENT,,,,img_0_grid_14_det_3.png,F1Q 0444,"ee

“lair","F1Q 0444 ee

“lair"
,INSTRUMENT,,,,img_0_grid_14_det_1.png,FT 014 6,"Aa r%

a)","FT 014 6 Aa r%

a)"
,INSTRUMENT,,,,img_0_grid_15_det_0.png,12 □,,12 □ 
,INSTRUMENT,,,,img_0_grid_15_det_0.png,□,,□ 
